"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"163" 674 16 4 66.6819444444445 -24.3488888888889 66.6758333333333 -24.2194444444444 144 247 300 3 4.9 81.4 6744 6741677
"164" 714 11 3 67.0863888888889 -14.9522222222222 67.0380555555556 -14.8827777777778 226 211 305 3 4.9 84.2 7143 7141177
"165" 715 11 3 67.0769444444444 -15.755 67.0255555555556 -15.7508333333333 165 166 260 3 4.9 79.4 7153 7151177
"166" 716 11 3 67.1063888888889 -16.7394444444444 67.1011111111111 -16.8672222222222 348 365 460 3 4.8 87.6 7163 7161177
"167" 717 1 4 67.0675 -17.3841666666667 67.0222222222222 -17.4227777777778 235 240 345 3 5 83.2 7174 7170177
"168" 718 2 3 67.0408333333333 -18.7791666666667 66.9925 -18.8158333333333 188 170 255 3 4.9 80.2 7183 7180277
"169" 719 2 3 67.1519444444445 -19.8255555555556 67.1166666666667 -19.9147222222222 296 274 400 3 4.8 85.4 7193 7190277
"170" 719 11 4 67.1244444444444 -19.5305555555556 67.1591666666667 -19.4369444444444 375 454 470 3 4.7 90 7194 7191177
"171" 720 11 1 67.3322222222222 -20.5883333333333 67.3069444444444 -20.7075 346 325 425 3 4.9 88 7201 7201177
"172" 720 14 3 67.0825 -20.4686111111111 67.0422222222222 -20.5594444444444 233 226 320 3 5 81.6 7203 7201477
"173" 721 1 3 67.0927777777778 -21.4430555555556 67.0525 -21.5466666666667 213 219 280 3 5 83.2 7213 7210177
"174" 721 11 4 67.0344444444444 -21.2166666666667 67.0933333333333 -21.1875 172 181 250 3 5 81.6 7214 7211177
"175" 722 2 3 67.1027777777778 -23 67.0527777777778 -23 261 240 340 3 4.9 82.8 7223 7220277
"176" 722 4 4 67.1055555555556 -22.0388888888889 67.1555555555556 -22.0333333333333 217 224 295 3 4.9 83.4 7224 7220477
"177" 723 2 4 67.0277777777778 -23.4694444444444 67.0666666666667 -23.5416666666667 236 227 350 3 4.9 80.8 7234 7230277
"178" 723 4 3 67.0055555555556 -23.7722222222222 67.05 -23.725 209 224 370 3 5 80.4 7233 7230477
"179" 723 11 3 67.0130555555556 -23.9744444444444 67.0480555555555 -23.8758333333333 250 244 330 3 4.9 82.2 7233 7231177
